Employee_ID,Department,Gender,Age,Education_Level,Years_at_Company,Job_Role,Monthly_Income,Training_Hours,Overtime,Work_Life_Balance,Job_Satisfaction,Performance_Score,Absenteeism_Days,Promotion_in_Last_5Years
1,IT,Male,36,Bachelor,19,Consultant,87681.89,9,No,2,2,4,11,0
2,Marketing,Female,38,High School,1,Analyst,113985.23,67,No,2,4,2,6,0
3,Finance,Female,32,High School,29,Manager,131490.55,87,Yes,3,3,2,11,0
4,Sales,Male,40,High School,27,Analyst,124398.73,44,No,2,1,3,19,0
5,Marketing,Male,25,PhD,1,Engineer,67801.71,52,Yes,3,2,4,1,0
6,IT,Female,52,High School,4,Manager,81931.09,93,No,4,1,3,8,0
7,IT,Male,51,Master,8,Consultant,89634.33,95,No,4,2,1,21,0
8,Operations,Female,34,High School,25,Executive,114091.45,83,Yes,4,1,5,0,0
9,Marketing,Female,49,High School,20,Manager,36582.15,49,No,1,1,1,3,0
10,HR,Male,51,Master,27,Executive,82905.21,6,No,2,4,1,9,0
11,IT,Male,36,Master,10,Engineer,86536.05,79,Yes,4,2,1,15,0
12,IT,Male,50,High School,3,Consultant,135031.45,31,No,4,1,4,29,1
13,HR,Male,38,High School,12,Analyst,78152.74,80,No,1,1,4,7,0
14,IT,Female,49,Master,11,Analyst,114422.53,62,No,1,3,2,7,0
15,Operations,Male,34,Bachelor,18,Engineer,107391.97,43,No,1,4,4,27,0
16,Finance,Female,43,PhD,20,Manager,84039.54,45,No,2,4,2,28,0
17,Sales,Male,52,Master,26,Analyst,61603.66,39,Yes,4,2,4,7,0
18,IT,Male,50,Bachelor,22,Analyst,118533.43,58,No,3,2,5,15,0
19,Marketing,Male,50,High School,28,Manager,145219.66,7,Yes,4,3,3,4,0
20,Sales,Male,47,Master,5,Manager,69717.19,86,No,4,1,3,6,0
21,HR,Female,49,Bachelor,26,Consultant,44982.91,10,No,3,3,3,3,1
22,HR,Female,57,Master,14,Consultant,88650.09,5,No,3,1,1,1,0
23,Operations,Female,27,Master,2,Analyst,99925.06,79,No,4,3,3,3,0
